,1,2,3,4,5,6,7,8,9
0,0.0177557235,0.0155618135,0.0071147428,0.0082104544,0.0062192209,0,1,0,1
1,0.0088338181,0.0068753731,0.0054654835,0.0534038597,0.0448145091,0,0.8565737052,0.0756972112,1
2,0.0124247108,0.01687354,0.006047826,0.0104211468,0.0121307769,0,1,0.0039840637,1
3,0.0013053035,0.0040953821,0.0018176859,0.0080454176,0.0083889448,0.0079681275,1,0,1
4,0.153936736,0.13809782,0.0461406167,0.2179218599,0.2246152404,0.0239043825,0.3824701195,0.0717131474,1
5,0.0182401632,0.018825074,0.0066567498,0.0059784045,0.0069398799,0,1,0,1
6,0.0010865492,0.0023708244,0.0006328603,0.0079896327,0.0059733577,0,0.9402390438,0,1
7,0.0616061667,0.0620050488,0.031471188,0.0661425214,0.0515182812,0.0836653386,0.625498008,0,1
8,0.0036114674,0.0061237877,0.0021660106,0.0320215011,0.0491104824,0,1,0.0358565737,1
9,0.0016596691,0.004155938,0.0012091953,0.009653186,0.0093923736,0,1,0,1
10,0.0284848588,0.0477906177,0.0171852805,0.0231876303,0.0157368076,0,0.8565737052,0,1
11,0.0045743155,0.0107151279,0.0026813919,0.0253823748,0.0515093286,0.0438247012,1,0.0796812749,0
12,0.014646596,0.0137807662,0.0067029103,0.0192908981,0.0136334975,0,1,0.0478087649,1
13,0.0134184879,0.0128505729,0.0049081503,0.0079250459,0.0047203419,0,1,0,1
14,0.155060325,0.1291066727,0.0523292118,0.1187234456,0.2381046511,0.187250996,0.7928286853,0.2430278884,0
15,0.0066621959,0.028028729,0.0106481173,0.1110000376,0.0461345285,0.0039840637,1,0.03187251,1
16,0.0080656864,0.0079864552,0.0036393443,0.053078893,0.0268825506,0,0.9362549801,0.1235059761,1
17,0.0919589287,0.0936619202,0.0309749477,0.0736540598,0.0492945604,0.0358565737,0.9043824701,0.0717131474,1
18,0.040816298,0.0409551816,0.0253278383,0.1315910072,0.2113870157,0.2071713147,0.3067729084,0.1195219124,0
19,0.0131566459,0.0167809278,0.0083806893,0.0052941641,0.0037471682,0,0.8366533865,0,1
20,0.0014234946,0.005262842,0.0021515532,0.0059617662,0.0039840356,0,1,0,1
21,0.0032054609,0.002298091,0.0013058729,0.0146601973,0.0134966398,0,1,0.1752988048,1
22,0.0821920433,0.0657739937,0.0234439014,0.3282757313,0.3881987541,0,0.0517928287,0.0079681275,1
23,0.0313744502,0.0294491719,0.0111103273,0.2171706395,0.0785998978,0,0,0,0
24,0.0020682347,0.0024057297,0.0009494061,0.0108787809,0.0049024063,0,1,0,1
25,0.015315731,0.0080865907,0.0063873563,0.015493333,0.0052188095,0,0,0,0
26,0.0231530327,0.0176599677,0.0105855473,0.033684114,0.0871001627,0,1,0.203187251,1
27,0.0182935138,0.0114946919,0.0046483387,0.0247857039,0.0115882072,0.0079681275,0.9641434263,0,1
28,0.0082386723,0.0057793342,0.0037319682,0.0189324631,0.0741147631,0.0079681275,1,0.1075697211,1
29,0.0246784154,0.0273908616,0.007414384,0.0706898571,0.0454395559,0.1673306773,1,0.1673306773,0
30,0.0027508185,0.0034719219,0.0019716854,0.010510986,0.0103236303,0,0.9362549801,0,1
31,0.0010364104,0.0023559068,0.0007998499,0.0060510593,0.0033201715,0,1,0,1
32,0.004648432,0.0086320556,0.0044920829,0.0182538348,0.0396883399,0,1,0,1
33,0.0018679828,0.0027164974,0.0014349845,0.0072944763,0.0142325244,0,1,0.0717131474,1
34,0.0011780742,0.0030799538,0.0012476012,0.0168730056,0.0070761657,0.0039840637,0.5537848606,0,1
35,0.0218185076,0.0243745146,0.0064864158,0.0188090428,0.0555141983,0.1075697211,1,0.0079681275,1
36,0.1624376275,0.1388523894,0.0504997838,0.1245446183,0.2225704505,0.1912350598,0.5856573705,0.1195219124,0
37,0.0160367351,0.0236677735,0.0124012283,0.0178225711,0.0075353826,0,0.7729083665,0,1
38,0.0143011259,0.015469377,0.0054716039,0.0077090895,0.0072794083,0,1,0.0239043825,1
39,0.0192025576,0.0104232519,0.0058794468,0.0085339316,0.00776145,0,1,0.03187251,1
40,0.0166367729,0.009765565,0.006332119,0.012289509,0.008988238,0.0039840637,0.9960159363,0,1
41,0.0068326272,0.0244928411,0.0095968702,0.1645608324,0.0359880083,0,1,0.1434262948,1
42,0.0684992415,0.0797271153,0.0285324663,0.1097970329,0.0388410881,0.0996015936,0.7131474104,0.1075697211,1
43,0.0302828018,0.0129044856,0.0099638629,0.0138398085,0.0262316268,0.0996015936,1,0,1
44,0.098647683,0.0983776813,0.0250836316,0.0726674418,0.1095262845,0.2908366534,0.5976095618,0.1673306773,0
45,0.0206651926,0.0188770281,0.0061514042,0.0098687912,0.029996266,0,0.9960159363,0.0876494024,1
46,0.000864591,0.0031616178,0.0013556262,0.0129146621,0.0037234766,0,1,0.0677290837,1
47,0.0300455124,0.0442927797,0.0188081264,0.041081579,0.0223440174,0,0.9521912351,0,1
48,0.1401498767,0.1744152263,0.0581459276,0.1589992961,0.074938245,0.0796812749,0.0278884462,0,0
49,0.0744028669,0.0875317524,0.018745931,0.1136133291,0.007059515,0.0239043825,0.5258964143,0.0398406375,1
50,0.0017795348,0.0043773833,0.0018353003,0.0167828075,0.0079182969,0,0.9880478088,0.015936255,1
51,0.0174816232,0.0159748368,0.0098736335,0.0037231693,0.0053924089,0,0.9083665339,0,1
52,0.0012030589,0.0042112535,0.001623838,0.0151079047,0.0095625418,0,1,0.0956175299,1
53,0.1057897354,0.087807219,0.034243694,0.0478596629,0.0535328436,0.0278884462,0.9043824701,0.2071713147,1
54,0.004285334,0.0161121069,0.0061129311,0.0580272051,0.065158534,0.0677290837,0.6374501992,0.0039840637,1
55,0.0023236468,0.0029054787,0.0012024836,0.0076986078,0.0042260907,0,1,0,1
56,0.004024562,0.0047275396,0.002835697,0.0108471665,0.0417923959,0.0438247012,1,0.0756972112,1
57,0.0104908465,0.0172311321,0.0073945441,0.0151980711,0.0056856144,0,0.9402390438,0,1
