,1,2,3,4,5,6,7
0,0.1305764319,-0.1607220887,0.0682888816,0.2361022923,0.3462780734,0.2159699168,0
1,0.3974065538,0.1257875259,0.0746047247,0.0176040713,0.0087735673,0.0140520955,0
2,0.0561641382,-0.0803481825,-0.0128919283,0.0357043874,0.044550437,0.1502640857,0
3,-0.1224286024,0.2399872072,-0.0485990657,0.0085939214,0.0029334976,0.0039027562,1
4,-0.1036378004,-0.1028641775,0.033801103,0.0640623587,0.0920088727,0.0888489155,1
5,-0.0409570594,-0.044368145,0.1046827219,0.0095567102,0.0109080881,0.006324381,1
6,-0.0459301054,0.0562202619,-0.096697467,0.1245446183,0.2225704505,0.099037102,0
7,0.1138186048,0.24878449,0.0284334689,0.0237483049,0.0042143506,0.0054588523,1
8,0.1591719068,0.1219828598,-0.1558307534,0.0583303442,0.0450449081,0.0665564454,1
9,-0.0988357928,0.2832767769,0.2140654104,0.0286134729,0.0165827302,0.0271003495,1
10,-0.0982822533,-0.1503893048,0.1396987833,0.1101453989,0.086689404,0.1101356337,1
11,-0.1141755458,0.2040353944,-0.0418609064,0.0159814049,0.0133124036,0.0113555394,1
12,-0.0583660226,-0.3622977649,-0.0845765355,0.0562747803,0.04273725,0.1238707379,1
13,0.1268120371,0.1062528952,0.0927251752,0.0207730428,0.0572623649,0.2417883981,1
14,0.1224128116,0.1838002351,-0.1306148227,0.0195469077,0.0243156108,0.0441606318,1
15,0.1590667466,-0.1019481719,-0.1150310709,0.0326272105,0.1801114135,0.0738738297,0
16,-0.2259094753,0.2251021474,-0.0924371745,0.0165437958,0.010507367,0.0155202218,1
17,0.0929089769,0.2876783984,-0.0290693088,0.0069257959,0.0036082934,0.0036761828,1
18,-0.0996174151,0.3296042948,0.476469196,0.0628534543,0.0144363258,0.04689314,1
19,0.0810294882,-0.0722366482,0.138693163,0.0587090231,0.0216512626,0.0811512804,1
20,0.0625009251,0.0192697104,0.0832790183,0.0061984597,0.0069558438,0.0065416368,1
21,0.0380431566,-0.0477501722,0.2691264343,0.0076359158,0.0090571831,0.0066078787,1
22,-0.1694306761,0.2014718765,0.0011675716,0.0229886814,0.0269259228,0.0259580921,0
23,0.0131641169,-0.0322965056,0.0143592864,0.0057185869,0.0059761131,0.0028902962,1
24,0.2792243466,0.0206264148,0.0194871651,0.0052055825,0.004465334,0.0033605176,1
25,0.1046480096,0.195054749,0.1007773679,0.0197431757,0.0212910214,0.0718681025,1
26,-0.0059670944,0.0985168664,0.0092352016,0.0505852225,0.0842537569,0.1023218159,1
27,0.1229543586,0.2352970279,-0.0863231155,0.0080446836,0.0065707731,0.0056104162,1
28,-0.0382112643,0.2479632581,-0.0626811296,0.1895813618,0.13926413,0.0948002403,0
29,0.119773522,-0.2905744088,0.2591384223,0.0856073481,0.1949426285,0.1708023472,1
30,0.1085033801,0.2899354701,-0.0573516578,0.0197986932,0.0086995455,0.0095502103,1
31,-0.1068992629,0.3744168685,-0.2951356205,0.0216657027,0.0663104257,0.1526429044,1
