,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.3415975458,0.3488230199,-0.8725518367,0.2193306414,-0.3101683514,0.2211513068,0.0115875124,0.0118699007,0.0034203274,0.0356988429,0.1092040425,0.0343881428,1
1,0.2320936295,0.2801999761,-0.9269872072,0.3112299761,-0.1660839761,0.0465521709,0.077308687,0.0395737866,0.0277938981,0.0182867555,0.0046459166,0.0141345893,1
2,0.3114696574,0.258509004,-0.9140593386,-0.3004367331,0.0276780601,0.0688641442,0.0044025738,0.0238835798,0.0080913023,0.1038133143,0.0337869648,0.0217358551,1
3,0.0374085499,0.0974518434,-0.9886349004,0.1553781351,0.1768937299,0.1427081753,0.0429776427,0.0978109544,0.0170503584,0.0275000981,0.0353538634,0.0073167868,1
4,0.3497933466,0.336106251,-0.8743795578,0.1850905896,-0.269151745,0.1363780765,0.0091870145,0.0057512542,0.0044885472,0.0279401709,0.1337998089,0.0314845393,0
5,0.2849345733,0.1699439813,-0.9372363347,0.5371691355,0.2046146181,0.075560441,0.0845620863,0.0609928631,0.0254658566,0.2515824064,0.1143093839,0.2074141732,1
6,0.0479867778,0.1171440673,-0.9800253944,0.1086553562,0.1870338526,0.0895674534,0.074745652,0.1313219749,0.0263131529,0.0408780481,0.0234926279,0.0079158813,1
7,0.238103745,0.3285704781,-0.9128368765,0.2882474183,-0.2475679243,0.0615812209,0.0228875629,0.0366455165,0.014497155,0.0625326578,0.0196774019,0.0488833192,0
8,0.0643530279,0.0830967092,-0.9751636892,0.0314783438,0.1889579004,0.054169008,0.1162573534,0.1499365455,0.0448626113,0.1385504209,0.5145115215,0.0900929477,0
9,0.1895610717,0.277571251,-0.9412727012,0.0238134778,0.3312602151,-0.0785577392,0.0191513835,0.0242240343,0.0085347977,0.0482462819,0.0194083563,0.0508046425,1
10,0.2606266096,0.2596360916,-0.926874,0.2944450677,-0.1704531155,-0.000381387,0.0594271522,0.0404779919,0.0199339594,0.0243783141,0.0521824166,0.0143535643,0
11,0.0927480912,0.1885767849,-0.9764921873,0.0945411319,0.0263567613,-0.0765074713,0.0252323564,0.0389627314,0.0120353588,0.0348628843,0.040742666,0.0131318942,1
12,0.2769934502,0.2574875737,-0.9253799402,0.1405114422,0.2513936175,0.0805137916,0.0178322392,0.0154876687,0.0094225599,0.0061030468,0.0062844861,0.0091189761,1
13,0.3102335697,0.2704140837,-0.911096506,-0.2928360139,0.0090286485,0.0910647805,0.0078669501,0.0201691942,0.0081190012,0.0568377904,0.1114676017,0.07169225,1
14,0.3630088924,0.2880823227,-0.8861300598,-0.0351663025,0.0163860674,-0.0234020214,0.0013272187,0.0019531182,0.0010086193,0.014195682,0.0077849505,0.00905273,1
15,0.1404779275,0.2298081394,-0.961319243,0.2607093865,-0.0563367705,0.2073003825,0.0467396252,0.030068744,0.0151899221,0.0168348908,0.0072485278,0.0282153751,0
16,0.3265992112,0.3060965498,-0.8942182749,0.057729392,0.1461171912,-0.008936719,0.0010530194,0.0029992647,0.0012057487,0.0064831926,0.0071784259,0.0060975438,1
17,0.1722583347,0.2549475339,-0.9508052749,0.2966294263,-0.0774099016,0.0884751474,0.0331903861,0.0126578885,0.0060283117,0.0254600415,0.0161010859,0.0175534145,1
18,0.2850177769,0.2848528566,-0.9124251873,-0.1360271797,0.2874081801,-0.1695127933,0.0478227179,0.0527361228,0.0059925655,0.0565233106,0.0587547138,0.4928325644,1
19,0.2522262988,0.3176375538,-0.9136343586,-0.0692533486,0.3428553267,0.3905721034,0.0162128272,0.0212222491,0.0068724325,0.0100242487,0.0138270016,0.1248767502,1
20,0.1831861912,0.1550869761,-0.9415253028,0.067601745,-0.0118501345,-0.0404837474,0.175339979,0.1484687713,0.0559810915,0.0652980095,0.0153956682,0.0394263776,0
21,0.2219582669,0.2046044661,-0.9239364462,0.332068259,-0.4675434462,0.1833240266,0.1682709072,0.1537160325,0.057177812,0.3162586201,0.3227464,0.3754323011,0
22,0.2298723745,0.2562150876,-0.9374924183,0.3458606255,-0.1680786813,0.0699348526,0.0288625208,0.0386623873,0.0171088332,0.0092217265,0.0040881664,0.0045227687,1
23,0.33032051,0.3017849602,-0.8943173705,0.0571683426,-0.016710424,0.0547538096,0.0013760048,0.002682738,0.0012388233,0.0077439201,0.0052560269,0.0046687527,1
24,0.3145193386,0.2761113227,-0.907587761,-0.196842029,0.040457374,0.0640524199,0.0077362469,0.0304943098,0.011607581,0.1546690079,0.0268119263,0.0187308869,1
25,0.3147438725,0.2818254741,-0.9063315139,-0.1381288498,0.0561723829,0.0148771387,0.0046945773,0.0065403543,0.0030140227,0.0271192455,0.0437183978,0.010613844,1
26,0.3200246693,0.3073375817,-0.8961686175,0.039581492,0.0355479159,0.1490989761,0.0010302641,0.0027719691,0.0009351846,0.0056251408,0.0032756519,0.0041387606,1
27,0.3228214741,0.2712182072,-0.9037233307,0.1553077777,0.3085520199,-0.0574059851,0.0667995772,0.0243640681,0.0213386814,0.0692085629,0.220408073,0.0858118326,0
28,0.2512748207,0.294517243,-0.9217899841,0.0861321247,-0.0090026958,-0.0645629594,0.0127290773,0.0142779637,0.0076144744,0.0117797112,0.0092109633,0.0097754889,1
